protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN20560_c0_g2_i10.p1_Eve;NODE_1099_length_6548_cov_645.809048_g674_i0.p1_Eve;TRINITY_DN8847_c0_g1_i10.p1_Ecy;TRINITY_DN4259_c0_g1_i7.p1_Gla;NODE_1467_length_5659_cov_333.074332_g972_i0.p1_Gla	*	PREDICTED: mucin-19-like isoform X2	PREDICTED: mucin-19-like isoform X2		PREDICTED: mucin-19-like isoform X2:3		Arthropoda	MUC19	MUC19
NODE_10995_length_2901_cov_250.791725_g6456_i0.p1_Ecy	FAM172A	protein FAM172A	FAM172A	FAM172A:1	protein FAM172A:1	Bilateria	Arthropoda	FAM172A	FAM172A
TRINITY_DN547_c0_g1_i19.p1_Eve;NODE_14_length_15246_cov_144.353754_g8_i1.p1_Eve;TRINITY_DN547_c0_g1_i23.p1_Eve;TRINITY_DN547_c0_g1_i37.p1_Eve;NODE_11_length_15666_cov_143.069283_g8_i0.p1_Eve;NODE_26_length_15798_cov_139.254238_g12_i1.p1_Ecy;NODE_20_length_16218_cov_137.806791_g12_i0.p1_Ecy;TRINITY_DN11113_c0_g1_i4.p1_Gla;NODE_5_length_16704_cov_87.299490_g4_i0.p1_Gla;NODE_5_length_16704_cov_87.299490_g4_i0.p2_Gla	kst	PREDICTED: spectrin beta chain, non-erythrocytic 1-like	kst	kst:10	PREDICTED: spectrin beta chain, non-erythrocytic 1-like:9;Spectrin repeat:1	Hymenoptera	Arthropoda	kst	kst
TRINITY_DN18913_c0_g1_i8.p1_Eve;NODE_11018_length_2898_cov_1104.644437_g6468_i0.p1_Ecy;TRINITY_DN9052_c0_g1_i3.p1_Gla;NODE_66391_length_798_cov_1248.610147_g6468_i6.p1_Ecy;NODE_101283_length_759_cov_8.039437_g81691_i0.p1_Gla;TRINITY_DN18913_c0_g1_i1.p1_Eve;TRINITY_DN45836_c0_g2_i1.p1_Gla	Elf	PREDICTED: eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like	Elf	Elf:5	PREDICTED: eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like:5;eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform X3:1;eukaryotic peptide chain release factor GTP-binding subunit ERF3A:1	Arthropoda;Insecta	Rotifera;Arthropoda	Elf	Elf
TRINITY_DN6404_c0_g1_i11.p1_Eve;NODE_21241_length_2004_cov_88.845013_g13477_i0.p1_Eve;NODE_11031_length_2897_cov_137.857444_g5871_i1.p1_Ecy;TRINITY_DN59547_c0_g1_i3.p1_Gla;NODE_31858_length_1683_cov_29.598531_g22804_i0.p1_Gla	*	zinc metalloproteinase nas-4-like isoform X1	zinc metalloproteinase nas-4-like isoform X1		zinc metalloproteinase nas-4-like isoform X1:5		Arthropoda	nas-4	nas-4
NODE_11055_length_2821_cov_86.046898_g6771_i0.p1_Eve;NODE_69275_length_1028_cov_34.728294_g53317_i0.p1_Gla;TRINITY_DN67871_c0_g2_i2.p1_Gla;TRINITY_DN3841_c0_g1_i2.p1_Ecy	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:4		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NODE_2193_length_5581_cov_49.327549_g1359_i0.p1_Ecy;TRINITY_DN3100_c0_g1_i2.p1_Eve;NODE_1106_length_6543_cov_76.194179_g677_i0.p1_Eve;NODE_3764_length_4656_cov_55.629260_g1359_i1.p2_Ecy;NODE_3764_length_4656_cov_55.629260_g1359_i1.p1_Ecy	*	PREDICTED: dual oxidase 2-like	PREDICTED: dual oxidase 2-like		PREDICTED: dual oxidase 2-like:4		Arthropoda	DUOX2	DUOX2
NODE_6652_length_3568_cov_206.195794_g3986_i0.p1_Eve;TRINITY_DN3124_c1_g1_i8.p1_Ecy;NODE_11064_length_2893_cov_246.937060_g6491_i0.p1_Ecy;TRINITY_DN7996_c0_g1_i8.p1_Eve;TRINITY_DN7996_c0_g1_i11.p1_Eve;TRINITY_DN5690_c0_g1_i5.p1_Gla	*	PREDICTED: uncharacterized protein LOC108677020	PREDICTED: uncharacterized protein LOC108677020		PREDICTED: uncharacterized protein LOC108677020:6		Arthropoda	*	PREDICTED: uncharacterized protein LOC108677020
TRINITY_DN968_c0_g1_i6.p1_Ecy;NODE_11069_length_2819_cov_183.403610_g6779_i0.p1_Eve;NODE_1998_length_5179_cov_187.059064_g1310_i0.p1_Gla;TRINITY_DN17496_c0_g1_i1.p1_Eve	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1-like isoform X2	BPNT1	BPNT1:1	3'(2'),5'-bisphosphate nucleotidase 1-like isoform X2:2;Inositol monophosphatase-like:2	Paraneoptera	Arthropoda	BPNT1	BPNT1
NODE_11126_length_2811_cov_12.748009_g6820_i0.p1_Eve;TRINITY_DN225999_c0_g1_i2.p1_Eve;NODE_1691_length_6047_cov_22.855452_g1041_i0.p1_Ecy;TRINITY_DN118652_c0_g1_i5.p1_Gla;NODE_13381_length_2587_cov_12.232467_g9041_i0.p1_Gla;NODE_14456_length_2500_cov_12.398205_g9041_i1.p1_Gla	*	PREDICTED: rho-associated protein kinase 2-like	PREDICTED: rho-associated protein kinase 2-like		PREDICTED: rho-associated protein kinase 2-like:6		Arthropoda	ROCK2	ROCK2
NODE_11136_length_2809_cov_249.228623_g2838_i1.p1_Eve;NODE_3886_length_4599_cov_281.243077_g993_i1.p1_Ecy;NODE_20447_length_2121_cov_8.567085_g14163_i0.p1_Gla;NODE_26007_length_1879_cov_12.441530_g18352_i0.p1_Gla;TRINITY_DN38934_c0_g1_i1.p1_Gla;NODE_25538_length_1896_cov_24.428262_g16949_i1.p1_Gla;TRINITY_DN323479_c0_g1_i1.p1_Gla	Men	NADP-dependent malic enzyme	Men	Men:3;ME2:1	PREDICTED: NADP-dependent malic enzyme-like isoform X1:2;NADP-dependent malic enzyme:3;E1.1.1.40:1;NADP-dependent malic enzyme isoform X1:1	Bilateria;Chordata;Hymenoptera	Rotifera;Arthropoda;Mollusca	Men	Men
TRINITY_DN327_c7_g1_i1.p1_Ecy;TRINITY_DN327_c7_g1_i4.p1_Ecy;TRINITY_DN10110_c1_g1_i12.p1_Gla;TRINITY_DN10110_c1_g1_i4.p1_Gla;NODE_785_length_7110_cov_263.687580_g424_i2.p1_Eve;NODE_5377_length_4061_cov_152.976321_g2824_i1.p1_Ecy;NODE_1968_length_5203_cov_106.653279_g1290_i0.p1_Gla;NODE_695_length_7306_cov_257.234946_g424_i1.p1_Eve;NODE_11146_length_2880_cov_68.450724_g2824_i2.p1_Ecy;TRINITY_DN3340_c0_g1_i2.p1_Eve;TRINITY_DN3340_c0_g1_i4.p1_Eve;NODE_23751_length_1967_cov_94.833160_g1290_i3.p1_Gla;NODE_4804_length_4247_cov_147.208194_g2824_i0.p1_Ecy;TRINITY_DN10110_c1_g1_i6.p1_Gla	tmod	PREDICTED: tropomodulin-like isoform X3	tmod	TMOD1:2;tmod:12	PREDICTED: tropomodulin-like isoform X8:2;PREDICTED: tropomodulin-like isoform X5:3;PREDICTED: tropomodulin-like isoform X3:5;PREDICTED: tropomodulin-like isoform X6:3;PREDICTED: tropomodulin-like isoform X2:1	Diptera;Drosophilidae;Insecta	Arthropoda	tmod	tmod
NODE_1116_length_6536_cov_392.678896_g574_i1.p1_Eve;TRINITY_DN3285_c0_g1_i2.p1_Eve;TRINITY_DN3285_c0_g1_i9.p1_Eve	*	EGF-like domain	EGF-like domain		EGF-like domain:1;PREDICTED: keratin, type I cytoskeletal 9-like:1;keratin, partial:1		Arthropoda	*	EGF-like domain
NODE_11170_length_2806_cov_1999.377222_g6849_i0.p1_Eve;TRINITY_DN460_c0_g1_i5.p1_Eve;TRINITY_DN460_c0_g1_i15.p1_Eve	Cht4	PREDICTED: acidic mammalian chitinase-like	Cht4	Cht4:3	Glycoside hydrolase family 18 catalytic domain:1;PREDICTED: acidic mammalian chitinase-like:2	Arthropoda	Arthropoda	Cht4	Cht4
NODE_11212_length_2801_cov_305.627907_g6875_i0.p1_Eve;TRINITY_DN3185_c0_g1_i20.p1_Eve;TRINITY_DN3185_c0_g1_i29.p1_Eve;TRINITY_DN3185_c0_g1_i24.p1_Eve;TRINITY_DN6322_c1_g1_i1.p1_Ecy;TRINITY_DN82311_c0_g1_i1.p1_Ecy;TRINITY_DN11810_c0_g1_i9.p1_Gla	*	PREDICTED: uncharacterized protein LOC108674692	PREDICTED: uncharacterized protein LOC108674692		hypothetical protein FHG87_005905:1;PREDICTED: uncharacterized protein LOC108674692:5;PREDICTED: uncharacterized protein LOC108670281:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108674692
NODE_11250_length_2797_cov_96.323144_g6771_i1.p1_Eve	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:1		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
TRINITY_DN490_c20_g1_i1.p1_Eve;NODE_11254_length_2796_cov_1148.730251_g6906_i0.p1_Eve;TRINITY_DN116262_c2_g1_i2.p1_Gla;NODE_37265_length_1540_cov_12.945003_g27031_i0.p1_Gla	*	ethylmalonyl-CoA decarboxylase-like	ethylmalonyl-CoA decarboxylase-like		ethylmalonyl-CoA decarboxylase-like:4		Arthropoda	ECHDC1	ECHDC1
TRINITY_DN56193_c0_g1_i4.p1_Eve;NODE_11262_length_2796_cov_20.896250_g6910_i0.p1_Eve;TRINITY_DN59415_c0_g1_i3.p1_Ecy	RFK	PREDICTED: riboflavin kinase-like isoform X2	RFK	RFK:1	PREDICTED: riboflavin kinase-like isoform X2:2;PREDICTED: riboflavin kinase-like isoform X1:1	Insecta	Arthropoda	RFK	RFK
TRINITY_DN14575_c0_g1_i5.p1_Gla;NODE_11282_length_2793_cov_94.326166_g7548_i0.p1_Gla	*	putative N-acetylated-alpha-linked acidic dipeptidase isoform X2	putative N-acetylated-alpha-linked acidic dipeptidase isoform X2		putative N-acetylated-alpha-linked acidic dipeptidase isoform X2:1;Transferrin receptor-like dimerization domain:1		Arthropoda	NAALAD2	NAALAD2
NODE_11292_length_2862_cov_3647.455386_g2514_i2.p1_Ecy;NODE_17869_length_2265_cov_2053.203971_g2254_i1.p1_Gla;NODE_3505_length_4353_cov_1043.448652_g2254_i0.p1_Gla;TRINITY_DN159_c1_g1_i3.p1_Eve;TRINITY_DN2976_c1_g2_i1.p1_Gla;TRINITY_DN17245_c0_g1_i1.p1_Eve;NODE_84125_length_644_cov_5.389916_g61753_i0.p1_Ecy	tbb-4	PREDICTED: tubulin beta chain-like isoform X2	tbb-4	tbb-4:1	PREDICTED: tubulin beta chain-like isoform X2:2;Tubulin/FtsZ GTPase domain:1;PREDICTED: tubulin beta chain-like isoform X1:2;tubulin beta chain-like:1;Tubulin beta-1 chain:1	Nematoda	Arthropoda	tbb-4	tbb-4
TRINITY_DN2502_c0_g1_i15.p1_Eve;NODE_11324_length_2788_cov_3133.083607_g6947_i0.p1_Eve;NODE_24233_length_1858_cov_3146.747374_g6947_i2.p2_Eve;NODE_24233_length_1858_cov_3146.747374_g6947_i2.p1_Eve;TRINITY_DN3991_c0_g2_i1.p1_Gla;NODE_74667_length_718_cov_3.654709_g53173_i0.p1_Ecy;CON__Q3MHH8;NODE_18286_length_2239_cov_545.829224_g12582_i0.p2_Gla;TRINITY_DN32550_c0_g1_i1.p1_Gla;NODE_34921_length_1598_cov_821.486120_g12582_i1.p1_Gla;TRINITY_DN3991_c0_g1_i3.p1_Gla;NODE_33307_length_1641_cov_15.726131_g23909_i0.p1_Gla	Amyrel	PREDICTED: alpha-amylase 1-like	Amyrel	Amyrel:6;AMY2A:5	PREDICTED: alpha-amylase 1-like:3;PREDICTED: alpha-amylase 2B-like:1;PREDICTED: alpha-amylase 1-like isoform X2:1;Glycosyl hydrolase family 13 catalytic domain:1;amylase I, partial:1;pancreatic alpha-amylase:2;pancreatic alpha-amylase-like:2	Rodentia;Actinopterygii;Afrotheria;Arthropoda	Rotifera;Arthropoda	Amyrel	Amyrel
NODE_113806_length_687_cov_60.735110_g83440_i1.p1_Gla	*	*	*					*	*
NODE_643_length_7406_cov_495.275656_g79_i2.p1_Eve;NODE_114_length_10367_cov_381.559798_g79_i0.p1_Eve;NODE_675_length_7796_cov_620.647347_g420_i0.p1_Ecy;TRINITY_DN3216_c0_g1_i9.p1_Eve;TRINITY_DN3216_c0_g1_i4.p1_Eve;TRINITY_DN3216_c0_g1_i5.p1_Eve;TRINITY_DN3216_c1_g1_i1.p1_Eve;NODE_8229_length_3248_cov_266.563614_g79_i4.p1_Eve;TRINITY_DN20290_c0_g1_i5.p1_Gla;NODE_296_length_8559_cov_272.354994_g201_i0.p1_Gla;TRINITY_DN20290_c0_g1_i13.p1_Gla;NODE_3072_length_4567_cov_331.940682_g201_i3.p1_Gla	EIF4G3	PREDICTED: eukaryotic translation initiation factor 4 gamma 1-like isoform X2	EIF4G3	Eif4g:5;EIF4G3:7	PREDICTED: eukaryotic translation initiation factor 4 gamma 1-like isoform X2:12	Actinopterygii;Arthropoda;Aves;Hymenoptera	Arthropoda	EIF4G3	EIF4G3
NODE_11430_length_2843_cov_2165.732999_g6700_i0.p1_Ecy;TRINITY_DN16922_c0_g1_i2.p1_Eve;NODE_95323_length_731_cov_15.491202_g74215_i0.p1_Eve;NODE_54005_length_962_cov_3.941950_g35668_i0.p1_Ecy;REV__TRINITY_DN11392_c2_g1_i1.p1_Ecy;TRINITY_DN25642_c0_g2_i1.p1_Ecy;NODE_49558_length_1296_cov_127.201283_g36875_i0.p1_Gla;TRINITY_DN137801_c0_g2_i4.p1_Gla;REV__TRINITY_DN20651_c0_g1_i1.p1_Gla;REV__NODE_11492_length_2768_cov_32.188672_g7694_i0.p1_Gla;REV__NODE_12413_length_2667_cov_55.178380_g7617_i0.p1_Eve	RPS2	40S ribosomal protein S2	RPS2	RPS2:5;RpS2:1	PREDICTED: 40S ribosomal protein S2:1;putative 40S ribosomal protein RPS2, partial:1;PREDICTED: 40S ribosomal protein S2, partial:1;40S ribosomal protein S2:3	Bilateria;Streptophyta;Metatheria;Hymenoptera	Phoronida;Arthropoda;Chordata	RPS2	RPS2
TRINITY_DN77296_c0_g1_i1.p1_Eve;TRINITY_DN1430_c0_g2_i1.p1_Ecy;NODE_11443_length_2841_cov_445.515401_g4188_i1.p1_Ecy;TRINITY_DN2577_c0_g1_i14.p1_Gla	EPHX4	epoxide hydrolase 4-like	EPHX4	EPHX4:4	epoxide hydrolase 4-like:4	Metazoa	Arthropoda	EPHX4	EPHX4
NODE_41574_length_1201_cov_69.094618_g6711_i1.p1_Ecy;TRINITY_DN12409_c0_g1_i10.p1_Eve;NODE_11445_length_2841_cov_179.092407_g6711_i0.p1_Ecy;TRINITY_DN12409_c0_g1_i4.p1_Eve;TRINITY_DN102472_c0_g2_i2.p1_Gla	*	PREDICTED: glutamate--cysteine ligase catalytic subunit-like	PREDICTED: glutamate--cysteine ligase catalytic subunit-like		PREDICTED: glutamate--cysteine ligase catalytic subunit-like:5		Arthropoda	GCLC	GCLC
TRINITY_DN5163_c0_g1_i1.p1_Eve;NODE_11457_length_2774_cov_155.237798_g6827_i1.p1_Eve;TRINITY_DN284_c3_g1_i5.p1_Ecy;NODE_10902_length_2915_cov_83.726797_g6398_i0.p1_Ecy	ARG1	Arginase-1	ARG1	ARG1:4	Arginase-1:2;Arginase:2	Actinopterygii	Arthropoda	ARG1	ARG1
TRINITY_DN18217_c0_g1_i1.p1_Ecy;NODE_1147_length_6491_cov_106.120925_g697_i0.p1_Eve;TRINITY_DN2696_c0_g1_i1.p1_Eve	ACACA	PREDICTED: acetyl-CoA carboxylase 1-like, partial	ACACA	ACACA:3	PREDICTED: acetyl-CoA carboxylase 1-like, partial:2;Biotin carboxylase-like N-terminal domain:1	Testudines	Arthropoda	ACACA	ACACA
NODE_11474_length_2838_cov_13.678738_g6725_i0.p1_Ecy;NODE_26869_length_1683_cov_2356.705018_g6725_i1.p1_Ecy;NODE_27574_length_1723_cov_12.727599_g17842_i0.p1_Eve;TRINITY_DN232320_c0_g1_i5.p1_Eve;TRINITY_DN52033_c0_g1_i1.p1_Ecy	SI	PREDICTED: lysosomal alpha-glucosidase-like	SI	SI:2;GAA:1	Glycoside hydrolase family 31 N-terminal domain:2;PREDICTED: lysosomal alpha-glucosidase-like:3	Aves;Insecta	Arthropoda	SI	SI
NODE_11482_length_2771_cov_826.678178_g6175_i1.p1_Eve;TRINITY_DN4837_c0_g1_i6.p1_Eve;NODE_10127_length_2943_cov_765.915342_g6175_i0.p1_Eve	rnh1	PREDICTED: ribonuclease H1-like	rnh1	rnh1:3	Ribonuclease H1 N-terminal:1;PREDICTED: ribonuclease H1-like:2	Insecta;Hymenoptera	Arthropoda	rnh1	rnh1
TRINITY_DN11159_c0_g1_i17.p1_Eve;NODE_33636_length_1522_cov_76.374745_g7050_i1.p1_Eve;NODE_11492_length_2770_cov_465.870268_g7050_i0.p1_Eve;NODE_30360_length_1538_cov_81.262592_g18424_i0.p1_Ecy;TRINITY_DN11159_c0_g1_i7.p1_Eve;NODE_14512_length_2495_cov_569.056010_g4804_i2.p1_Gla	*	Glycoside hydrolase family 9, partial	Glycoside hydrolase family 9, partial		PREDICTED: endoglucanase A-like:2;Glycoside hydrolase family 9, partial:4		Arthropoda	celD	celD
NODE_11506_length_2769_cov_690.583824_g7060_i0.p1_Eve	*	hypothetical protein FHG87_015613	hypothetical protein FHG87_015613		hypothetical protein FHG87_015613:1		Arthropoda	*	hypothetical protein FHG87_015613
TRINITY_DN14714_c0_g1_i3.p1_Eve;NODE_11507_length_2766_cov_1371.687891_g4817_i2.p1_Gla;TRINITY_DN3139_c1_g1_i22.p1_Gla;NODE_56707_length_1185_cov_5069.364437_g42778_i0.p1_Gla;TRINITY_DN2202_c0_g1_i1.p1_Ecy;TRINITY_DN40869_c2_g2_i3.p1_Eve;TRINITY_DN21980_c0_g1_i5.p1_Gla	Ubc	polyubiquitin-H isoform X2	Ubc	Ubc:1	polyubiquitin-H isoform X2:3;polyubiquitin isoform X1:1;PREDICTED: polyubiquitin-A isoform X3:1;Ubiquitin and ubiquitin-like proteins:1	Rodentia	Porifera;Arthropoda	Ubc	Ubc
NODE_11516_length_2768_cov_359.077970_g7068_i0.p1_Eve;TRINITY_DN3734_c0_g1_i8.p1_Eve;NODE_28709_length_1679_cov_183.425153_g7068_i1.p1_Eve;TRINITY_DN3734_c0_g1_i9.p1_Eve;TRINITY_DN4415_c0_g1_i1.p1_Eve	*	Membrane attack complex component/perforin (MACPF) domain	Membrane attack complex component/perforin (MACPF) domain		Membrane attack complex component/perforin (MACPF) domain:1;Kelch-like protein 10, partial:1		Arthropoda	*	Membrane attack complex component/perforin (MACPF) domain
NODE_11528_length_2766_cov_371.624954_g7076_i0.p1_Eve;TRINITY_DN41007_c0_g1_i6.p1_Eve;TRINITY_DN736_c0_g1_i6.p1_Ecy	mdy	PREDICTED: diacylglycerol O-acyltransferase 1-like	mdy	mdy:2;DGAT1:1	PREDICTED: diacylglycerol O-acyltransferase 1-like:3	Nematocera	Arthropoda	mdy	mdy
TRINITY_DN1667_c0_g1_i10.p1_Eve;NODE_11538_length_2765_cov_1230.812224_g7082_i0.p1_Eve;NODE_12571_length_2648_cov_888.625625_g7082_i1.p1_Eve;NODE_26690_length_1691_cov_1186.603532_g10968_i2.p1_Ecy;NODE_18502_length_2164_cov_982.959338_g10968_i0.p1_Ecy	CAT	PREDICTED: catalase-like	CAT	CAT:1	PREDICTED: catalase-like:3;Catalase:2	Aves	Arthropoda	CAT	CAT
NODE_11554_length_2763_cov_167.894989_g7095_i0.p1_Eve;TRINITY_DN5361_c0_g1_i1.p1_Eve;TRINITY_DN1783_c0_g1_i6.p1_Ecy	*	PREDICTED: uncharacterized protein LOC108665881	PREDICTED: uncharacterized protein LOC108665881		hypothetical protein FHG87_001618:1;PREDICTED: uncharacterized protein LOC108665881:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108665881
TRINITY_DN15642_c0_g1_i5.p1_Eve;NODE_11562_length_2762_cov_119.750829_g1728_i3.p1_Eve;NODE_21797_length_2053_cov_6.505988_g15198_i0.p1_Gla	TRIM31	PREDICTED: E3 ubiquitin-protein ligase TRIM21-like	TRIM31	TRIM31:1	PREDICTED: E3 ubiquitin-protein ligase TRIM21-like:1;PREDICTED: zinc-binding protein A33-like:1	Rodentia	Arthropoda	TRIM31	TRIM31
TRINITY_DN4204_c0_g1_i5.p1_Ecy;TRINITY_DN58986_c0_g1_i3.p1_Eve;TRINITY_DN4204_c0_g1_i2.p1_Ecy;NODE_42115_length_1434_cov_57.503249_g24311_i1.p1_Gla;NODE_36793_length_1325_cov_132.384796_g14012_i2.p1_Ecy;TRINITY_DN58986_c0_g1_i6.p1_Eve;NODE_33851_length_1626_cov_36.539632_g24311_i0.p1_Gla;NODE_23426_length_1853_cov_122.878603_g14012_i0.p1_Ecy;NODE_1160_length_6473_cov_72.845112_g704_i0.p1_Eve	aret	putative CUGBP Elav-like family member 2 isoform X2	aret	CELF2:2;aret:7	putative CUGBP Elav-like family member 2 isoform X2:4;RNA recognition motif domain:4;CUGBP Elav-like family member 2:1	Insecta;Hymenoptera	Arthropoda	aret	aret
NODE_11607_length_2817_cov_2151.094653_g6803_i0.p1_Ecy;TRINITY_DN9165_c0_g1_i2.p1_Gla	*	PREDICTED: high mobility group protein DSP1-like	PREDICTED: high mobility group protein DSP1-like		PREDICTED: high mobility group protein DSP1-like:2		Arthropoda	Dsp1	Dsp1
NODE_11617_length_2756_cov_222.939047_g4765_i2.p1_Eve;NODE_12768_length_2675_cov_176.110434_g7490_i0.p1_Ecy;NODE_6116_length_3568_cov_59.907076_g3998_i0.p1_Gla;TRINITY_DN683_c0_g1_i8.p1_Gla	GstO1	PREDICTED: glutathione S-transferase omega-1-like isoform X2	GstO1	GstO1:4	PREDICTED: glutathione S-transferase omega-1-like isoform X2:4	Arthropoda	Arthropoda	GstO1	GstO1
TRINITY_DN5353_c0_g1_i1.p1_Eve;NODE_11693_length_2748_cov_104.834754_g7180_i0.p1_Eve	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:2		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NODE_11700_length_2747_cov_81.308747_g7184_i0.p1_Eve;NODE_58714_length_893_cov_13.421801_g1519_i5.p2_Ecy;TRINITY_DN7721_c0_g1_i4.p1_Ecy;TRINITY_DN21169_c0_g1_i20.p1_Eve;TRINITY_DN7721_c0_g1_i10.p1_Ecy;TRINITY_DN24649_c0_g1_i3.p1_Eve;TRINITY_DN21169_c0_g1_i51.p1_Eve;NODE_2475_length_5358_cov_24.428518_g1519_i0.p2_Ecy	Hsc70-4	Heat shock 70 kDa protein 1	Hsc70-4	Hsc70-4:3;HSPA6:2;HSPA2:2;SSA1:1	heat shock 70 kDa protein cognate 4:1;heat shock 70 kDa protein 6:1;heat shock 70 kDa protein cognate 2:1;Heat shock 70 kDa protein 1:2;LOW QUALITY PROTEIN: heat shock-related 70 kDa protein 2:1;heat shock protein 6:1;heat shock protein 70:1	Lepidoptera;Saccharomycetes;Aves;Drosophilidae;Mammalia	Arthropoda;Chordata	Hsc70-4	Hsc70-4
TRINITY_DN538_c8_g1_i2.p1_Eve;TRINITY_DN17162_c0_g1_i1.p1_Ecy;NODE_11724_length_2744_cov_121.129128_g7198_i0.p1_Eve;NODE_488_length_7554_cov_71.637841_g320_i0.p1_Gla	Stam	PREDICTED: signal transducing adapter molecule 1-like	Stam	Stam:3;STAM:1	PREDICTED: signal transducing adapter molecule 1-like:4	Arthropoda	Arthropoda	Stam	Stam
NODE_1216_length_6406_cov_96.424886_g714_i1.p1_Eve;NODE_1174_length_6457_cov_95.487360_g714_i0.p1_Eve	LanB1	PREDICTED: laminin subunit beta-1-like isoform X5	LanB1	LanB1:2	PREDICTED: laminin subunit beta-1-like isoform X5:1;PREDICTED: laminin subunit beta-1-like isoform X6:1	Arthropoda	Arthropoda	LanB1	LanB1
NODE_11756_length_2740_cov_637.231512_g7882_i0.p1_Gla	*	ATPase V1 complex subunit F eukaryotic	ATPase V1 complex subunit F eukaryotic		ATPase V1 complex subunit F eukaryotic:1		Arthropoda	ATP6V1F	ATP6V1F
NODE_11780_length_2738_cov_293.337672_g5326_i1.p1_Eve;NODE_32017_length_1477_cov_182.728992_g9606_i3.p1_Ecy;NODE_16287_length_2334_cov_354.870022_g9606_i0.p1_Ecy;TRINITY_DN17788_c0_g1_i3.p1_Ecy	CA14	PREDICTED: carbonic anhydrase 2-like	CA14	CA14:1	PREDICTED: carbonic anhydrase 2-like:2;carbonic anhydrase alpha, 6-like:1;carbonic anhydrase G:1	Arthropoda	Arthropoda	CA14	CA14
NODE_11814_length_2733_cov_1465.029806_g7250_i0.p1_Eve;NODE_17319_length_2240_cov_1364.245550_g7250_i1.p1_Eve	*	PREDICTED: prostaglandin reductase 1-like	PREDICTED: prostaglandin reductase 1-like		PREDICTED: prostaglandin reductase 1-like:2		Arthropoda	PTGR1	PTGR1
TRINITY_DN53517_c0_g1_i1.p1_Gla;NODE_11828_length_2733_cov_26.933681_g7934_i0.p1_Gla;TRINITY_DN6872_c0_g1_i6.p1_Eve;NODE_42453_length_1180_cov_47.156499_g26837_i0.p1_Ecy;TRINITY_DN120932_c0_g1_i7.p1_Ecy	STAT5B	signal transducer and activator of transcription 5B-like isoform X1	STAT5B	STAT5B:1	signal transducer and activator of transcription 5B-like isoform X1:2;STAT transcription factor protein interaction:2;PREDICTED: signal transducer and activator of transcription 5B-like:1	Hymenoptera	Arthropoda	STAT5B	STAT5B
NODE_11841_length_2731_cov_68.683445_g7263_i0.p1_Eve;NODE_7180_length_3575_cov_154.993761_g4199_i0.p1_Ecy;TRINITY_DN31621_c0_g1_i15.p1_Gla;TRINITY_DN31621_c0_g1_i31.p1_Gla;NODE_2131_length_5073_cov_18.438097_g1389_i0.p1_Gla;NODE_81322_length_910_cov_7.642276_g60373_i1.p1_Gla;NODE_77439_length_946_cov_7.719064_g60373_i0.p1_Gla	ANK3	PREDICTED: ankyrin-3-like, partial	ANK3	ANK2:1;Ank:1;ANK3:2	PREDICTED: ankyrin-3-like, partial:2;ankyrin-3:2;GM24995:2;ankyrin-2 isoform X7:1	Rodentia;Actinopterygii;Vertebrata;Insecta	Rotifera;Arthropoda	ANK3	ANK3
NODE_118700_length_617_cov_6401.177817_g96023_i0.p1_Eve	*	PREDICTED: actin-5, muscle-specific-like isoform X1	PREDICTED: actin-5, muscle-specific-like isoform X1		PREDICTED: actin-5, muscle-specific-like isoform X1:1		Arthropoda	ACT5	ACT5
NODE_11892_length_2725_cov_395.889761_g7296_i0.p1_Eve;TRINITY_DN8704_c0_g1_i1.p1_Ecy;TRINITY_DN6355_c0_g1_i4.p1_Eve;NODE_8662_length_3271_cov_203.335196_g5098_i0.p1_Ecy;TRINITY_DN10598_c0_g1_i2.p1_Gla	ACY1	PREDICTED: aminoacylase-1A-like	ACY1	ACY1:5	PREDICTED: aminoacylase-1A-like:5	Testudines;Aves	Arthropoda	ACY1	ACY1
